"","dt","dt_txt","main.temp","main.temp_min","main.temp_max","main.pressure","main.sea_level","main.grnd_level","main.humidity","main.temp_kf","clouds.all","wind.speed","wind.deg","sys.pod","rain.3h","weather_main","weather_description","weather_id"
"1",1572372000,"2019-10-29 18:00:00",4.77,4.77,6.85,1030,1030,1028,68,-2.09,13,3.72,25,"n",NA,"Clouds","few clouds","801"
"2",1572382800,"2019-10-29 21:00:00",4.68,4.68,6.24,1030,1030,1029,68,-1.57,21,2.85,21,"n",NA,"Clouds","few clouds","801"
"3",1572393600,"2019-10-30 00:00:00",4.5,4.5,5.54,1031,1031,1029,68,-1.05,18,2.05,356,"n",NA,"Clouds","few clouds","801"
"4",1572404400,"2019-10-30 03:00:00",4.19,4.19,4.71,1030,1030,1028,72,-0.53,0,2.01,332,"n",NA,"Clear","clear sky","800"
"5",1572415200,"2019-10-30 06:00:00",4.07,4.07,4.07,1031,1031,1029,78,0,0,2.24,323,"n",NA,"Clear","clear sky","800"
"6",1572426000,"2019-10-30 09:00:00",5.88,5.88,5.88,1031,1031,1029,72,0,0,2.09,272,"d",NA,"Clear","clear sky","800"
"7",1572436800,"2019-10-30 12:00:00",7.83,7.83,7.83,1030,1030,1029,58,0,0,2.09,268,"d",NA,"Clear","clear sky","800"
"8",1572447600,"2019-10-30 15:00:00",6.74,6.74,6.74,1029,1029,1027,65,0,23,2.4,265,"d",NA,"Clouds","few clouds","801"
"9",1572458400,"2019-10-30 18:00:00",4.48,4.48,4.48,1029,1029,1028,72,0,40,2.25,262,"n",NA,"Clouds","scattered clouds","802"
"10",1572469200,"2019-10-30 21:00:00",3.85,3.85,3.85,1029,1029,1027,75,0,0,3.06,229,"n",NA,"Clear","clear sky","800"
"11",1572480000,"2019-10-31 00:00:00",3.26,3.26,3.26,1028,1028,1026,78,0,11,3.89,233,"n",NA,"Clouds","few clouds","801"
"12",1572490800,"2019-10-31 03:00:00",2.92,2.92,2.92,1026,1026,1025,81,0,0,4.04,240,"n",NA,"Clear","clear sky","800"
"13",1572501600,"2019-10-31 06:00:00",2.93,2.93,2.93,1026,1026,1025,84,0,0,4.23,239,"n",NA,"Clear","clear sky","800"
"14",1572512400,"2019-10-31 09:00:00",5.76,5.76,5.76,1026,1026,1024,77,0,0,4.05,241,"d",NA,"Clear","clear sky","800"
"15",1572523200,"2019-10-31 12:00:00",8.64,8.64,8.64,1025,1025,1024,70,0,6,3.41,252,"d",NA,"Clear","clear sky","800"
"16",1572534000,"2019-10-31 15:00:00",7.57,7.57,7.57,1024,1024,1023,76,0,78,2.46,246,"d",NA,"Clouds","broken clouds","803"
"17",1572544800,"2019-10-31 18:00:00",5.14,5.14,5.14,1024,1024,1022,83,0,39,2.16,220,"n",NA,"Clouds","scattered clouds","802"
"18",1572555600,"2019-10-31 21:00:00",3.89,3.89,3.89,1023,1023,1022,84,0,0,2.88,189,"n",NA,"Clear","clear sky","800"
"19",1572566400,"2019-11-01 00:00:00",2.86,2.86,2.86,1022,1022,1021,77,0,26,3.35,171,"n",NA,"Clouds","scattered clouds","802"
"20",1572577200,"2019-11-01 03:00:00",1.97,1.97,1.97,1020,1020,1019,77,0,100,3.83,160,"n",NA,"Clouds","overcast clouds","804"
"21",1572588000,"2019-11-01 06:00:00",1.62,1.62,1.62,1017,1017,1016,77,0,100,5.39,149,"n",NA,"Clouds","overcast clouds","804"
"22",1572598800,"2019-11-01 09:00:00",3.86,3.86,3.86,1015,1015,1013,71,0,37,5.63,154,"d",NA,"Clouds","scattered clouds","802"
"23",1572609600,"2019-11-01 12:00:00",6.17,6.17,6.17,1011,1011,1010,67,0,64,5.34,154,"d",NA,"Clouds","broken clouds","803"
"24",1572620400,"2019-11-01 15:00:00",6.28,6.28,6.28,1008,1008,1007,73,0,100,4.64,166,"d",NA,"Clouds","overcast clouds","804"
"25",1572631200,"2019-11-01 18:00:00",5.88,5.88,5.88,1005,1005,1004,88,0,100,5.13,171,"n",0.38,"Rain","light rain","500"
"26",1572642000,"2019-11-01 21:00:00",6.81,6.81,6.81,1002,1002,1001,94,0,100,4.68,178,"n",0.38,"Rain","light rain","500"
"27",1572652800,"2019-11-02 00:00:00",7.71,7.71,7.71,1000,1000,998,96,0,100,4.39,176,"n",1.13,"Rain","light rain","500"
"28",1572663600,"2019-11-02 03:00:00",8.01,8.01,8.01,997,997,996,96,0,100,4.48,157,"n",1.5,"Rain","light rain","500"
"29",1572674400,"2019-11-02 06:00:00",8.28,8.28,8.28,995,995,994,96,0,100,4.46,150,"n",0.13,"Rain","light rain","500"
"30",1572685200,"2019-11-02 09:00:00",9.1,9.1,9.1,994,994,993,97,0,100,3.81,152,"d",NA,"Clouds","overcast clouds","804"
"31",1572696000,"2019-11-02 12:00:00",10.43,10.43,10.43,993,993,991,98,0,100,3.23,173,"d",1,"Rain","light rain","500"
"32",1572706800,"2019-11-02 15:00:00",11.73,11.73,11.73,992,992,991,98,0,100,3.73,215,"d",2.5,"Rain","light rain","500"
"33",1572717600,"2019-11-02 18:00:00",12.08,12.08,12.08,993,993,991,96,0,100,5.08,217,"n",1.5,"Rain","light rain","500"
"34",1572728400,"2019-11-02 21:00:00",10.54,10.54,10.54,994,994,993,93,0,67,5.85,224,"n",1.31,"Rain","light rain","500"
"35",1572739200,"2019-11-03 00:00:00",9.9,9.9,9.9,994,994,993,94,0,44,5.72,214,"n",NA,"Clouds","scattered clouds","802"
"36",1572750000,"2019-11-03 03:00:00",9.22,9.22,9.22,994,994,992,95,0,100,4.42,183,"n",NA,"Clouds","overcast clouds","804"
"37",1572760800,"2019-11-03 06:00:00",9.62,9.62,9.62,993,993,992,92,0,100,4.83,165,"n",NA,"Clouds","overcast clouds","804"
"38",1572771600,"2019-11-03 09:00:00",11.91,11.91,11.91,992,992,990,90,0,100,6.25,148,"d",NA,"Clouds","overcast clouds","804"
"39",1572782400,"2019-11-03 12:00:00",13.82,13.82,13.82,990,990,989,86,0,100,7.21,162,"d",NA,"Clouds","overcast clouds","804"
"40",1572793200,"2019-11-03 15:00:00",13.67,13.67,13.67,989,989,988,87,0,100,7.12,168,"d",0.38,"Rain","light rain","500"
